chat_id,exec_run_id,ping_id,ping_type,replied,control_replied,window_min
S06,02d6ec4288c846cb869f00e3dac804c6,695,hs2_entry,0,0.0,15
S06,02d6ec4288c846cb869f00e3dac804c6,701,hs2_entry,0,0.0,15
S06,02d6ec4288c846cb869f00e3dac804c6,719,hs2_entry,0,0.0,15
S06,361fc67bb2ea4c5387751d2ccd9e8646,725,hs2_entry,0,0.0,15
S06,361fc67bb2ea4c5387751d2ccd9e8646,740,hs2_entry,1,0.0,15
S06,361fc67bb2ea4c5387751d2ccd9e8646,760,hs2_entry,0,0.0,15
S08,c7f32d254fed4f6a8d39d08a487bccfc,236,hs3_proactive,1,0.0,15
S08,cb1fca0922594f4ba6bd46d3982dc589,301,hs3_proactive,0,0.0,15
S08,cb1fca0922594f4ba6bd46d3982dc589,339,hs3_proactive,0,0.0,15
S08,b6598f788a9d424b928d8f9a1f1ccc36,431,hs2_entry,0,0.0,15
S08,b6598f788a9d424b928d8f9a1f1ccc36,440,hs2_entry,0,0.0,15
S08,b6598f788a9d424b928d8f9a1f1ccc36,457,hs2_entry,0,0.0,15
S08,b6598f788a9d424b928d8f9a1f1ccc36,463,hs3_proactive,0,0.0,15
S08,928e8a5fae93491f9eff4bb5305132db,501,hs2_entry,0,0.0,15
S08,928e8a5fae93491f9eff4bb5305132db,545,hs2_entry,0,0.0,15
S08,928e8a5fae93491f9eff4bb5305132db,553,hs2_entry,0,0.0,15
S08,928e8a5fae93491f9eff4bb5305132db,562,hs2_entry,0,0.0,15
S08,928e8a5fae93491f9eff4bb5305132db,590,hs2_entry,0,0.0,15
S08,3471fa80302344f3bf7da0d283f2246e,604,hs2_entry,0,0.0,15
S08,3471fa80302344f3bf7da0d283f2246e,612,hs2_entry,0,0.0,15
S08,3471fa80302344f3bf7da0d283f2246e,624,hs3_proactive,0,0.0,15
S08,3471fa80302344f3bf7da0d283f2246e,662,hs2_entry,0,0.0,15
S08,3471fa80302344f3bf7da0d283f2246e,668,hs2_entry,0,0.0,15
S08,02d6ec4288c846cb869f00e3dac804c6,674,hs2_entry,0,0.0,15
S08,02d6ec4288c846cb869f00e3dac804c6,682,hs2_entry,0,0.0,15
S08,02d6ec4288c846cb869f00e3dac804c6,692,hs2_entry,0,0.0,15
S08,02d6ec4288c846cb869f00e3dac804c6,698,hs2_entry,0,0.0,15
S08,02d6ec4288c846cb869f00e3dac804c6,716,hs2_entry,0,0.0,15
S08,361fc67bb2ea4c5387751d2ccd9e8646,722,hs2_entry,0,0.0,15
S08,361fc67bb2ea4c5387751d2ccd9e8646,738,hs2_entry,0,0.0,15
S08,361fc67bb2ea4c5387751d2ccd9e8646,758,hs2_entry,0,0.0,15
